dir,score,wirelength_score,area_score,aspect_dev_score,max_temperature_K_score,worst_case_score,raw_wirelength_avg,raw_area_avg,raw_aspect_dev_avg,raw_temp_K_avg
output_gurobi_EMIB_chiplet_5_6_01_08,0.38513629857232945,0.4298649571930157,0.4197810181180114,0.2359594950735272,0.45493972390476345,0.6204359106777274,49921.46111111111,887.2122222222222,0.24266666666666664,359.0888888888889
output_gurobi_EMIB_chiplet_5_6_01_07,0.38810622064959727,0.41974777050258094,0.4154173046114448,0.28539842808397675,0.4318613794003865,0.6219941729942444,49875.508888888886,888.3155555555555,0.292,358.8977777777778
output_gurobi_EMIB_chiplet_5_6_01_01,0.39619987089666636,0.1865476205020634,0.28394121084313856,0.26196330310128557,0.8523473491401782,0.5531395425728007,49134.718888888885,866.338888888889,0.30477777777777776,360.7811111111111
output_gurobi_EMIB_chiplet_5_6_01_12,0.40667337699590633,0.49086266754826124,0.4423450329586839,0.24190114502965032,0.4515846624470299,0.6219696530090143,50402.77,918.8544444444444,0.22344444444444445,359.2322222222222
output_gurobi_EMIB_chiplet_5_6_01_03,0.4115006327249731,0.4875841749590125,0.3823141069369928,0.20018559893031057,0.5759186500735765,0.5776784423393638,49884.65555555555,872.0222222222222,0.22455555555555554,359.4411111111111
output_gurobi_EMIB_chiplet_5_6_01_06,0.4129257420156146,0.3795769305013477,0.41736662235023625,0.37522778491443076,0.4795316302964438,0.6798889098363498,49485.69222222222,888.5377777777778,0.3066666666666667,359.04555555555555
output_gurobi_EMIB_chiplet_5_6_01_09,0.4153015126642304,0.4678417636556131,0.3756439722750504,0.32112392856389105,0.496596386162367,0.6204604306629574,50211.67777777778,885.0933333333334,0.3031111111111111,359.0777777777778
output_gurobi_EMIB_chiplet_5_6_01_2,0.4220148800467641,0.7502705451282538,0.6901055161728641,0.11221493444983482,0.13546852443610363,0.626165935007929,51660.44222222222,947.4411111111111,0.19744444444444442,356.73555555555555
output_gurobi_EMIB_chiplet_5_6_01_02,0.4344686912581721,0.360954345167007,0.1508192738814006,0.5146286644079633,0.7114724815763176,0.6521063637324873,49621.62111111111,850.3266666666667,0.4842222222222222,360.47777777777776
output_gurobi_EMIB_chiplet_5_6_01_19,0.44705544935861113,0.7443715399770912,0.6692710965040569,0.25079030683901066,0.12378885411428572,0.6826886306455278,51694.19111111111,935.3644444444444,0.28788888888888886,356.71
output_gurobi_EMIB_chiplet_5_6_01_15,0.4502706430218141,0.6375340337795082,0.6810851238317392,0.1889115771460644,0.29355183732994444,0.6798643898511197,51267.26111111111,939.3344444444444,0.216,358.4066666666667
output_gurobi_EMIB_chiplet_5_6_01_1,0.4549961886816926,0.46823549751599075,0.44274114480005905,0.5200809644471249,0.38892714796359584,0.6798643898511197,50300.72,916.9588888888889,0.40944444444444444,359.06
output_gurobi_EMIB_chiplet_5_6_01_17,0.45676036699678857,0.7165786489691606,0.661562342186241,0.3558052872390616,0.0930951895926911,0.6262394949636202,51263.45,937.25,0.3681111111111111,356.56666666666666
output_gurobi_EMIB_chiplet_5_6_01_11,0.4575283611166492,0.5398183646113657,0.38287988867270595,0.509806216900447,0.39760897428207803,0.6204604306629574,50720.46333333333,894.9311111111111,0.407,359.3788888888889
output_gurobi_EMIB_chiplet_5_6_01_14,0.47482453068332053,0.617285303203971,0.6005349259015718,0.30718825379277775,0.37428963983496133,0.6798398698658886,50861.73777777778,933.9288888888889,0.3204444444444445,359.37111111111113
output_gurobi_EMIB_chiplet_5_6_01_04,0.48837359028869454,0.3726918931714161,0.527851969326413,0.4300631201170899,0.6228873785398591,0.6798643898511197,49408.961111111115,889.3411111111111,0.3462222222222222,359.63444444444445
output_gurobi_EMIB_chiplet_5_6_01_05,0.4893031904894203,0.38522928841429516,0.5604473751599803,0.39755209109779305,0.6139840072856124,0.75,49441.653333333335,892.9011111111112,0.3885555555555556,359.59777777777776
output_gurobi_EMIB_chiplet_5_6_01_16,0.49185636436147434,0.7211529752593726,0.6767870656329819,0.3516449258537025,0.2178404906998404,0.6219696530090143,51197.537777777776,929.5944444444444,0.3738888888888889,357.93666666666667
output_gurobi_EMIB_chiplet_5_6_01_13,0.49244600552066026,0.6122521210593331,0.41502783273494154,0.4464917363798424,0.4960123319085236,0.8373674376868139,51995.34777777777,907.37,0.306,360.16
output_gurobi_EMIB_chiplet_5_6_01_18,0.5225296071467845,0.8253591090227183,0.6397337332993017,0.44588129345522226,0.17914429280989605,0.7263706412991207,52170.357777777775,947.0555555555555,0.404,357.7788888888889
